14:39:06 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
14:43:23 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
14:59:07 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
20:24:38 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
20:28:17 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
20:29:16 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
20:33:56 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
20:41:36 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=ahmed, pass=0000, id=3] was created.
20:41:36 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=ahmed, pass=0000, id=3]
20:43:11 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=aycil, pass=0000, id=4] was created.
20:43:11 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aycil, pass=0000, id=4]
20:43:59 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aycil, pass=0000, id=4]
20:51:16 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
20:52:07 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=, pass=mohanad, id=5] was created.
20:52:07 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=, pass=mohanad, id=5]
20:53:20 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=eman, pass=, id=6] was created.
20:53:20 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=eman, pass=, id=6]
20:53:47 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=mahmoud, pass=, id=7] was created.
20:53:47 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=mahmoud, pass=, id=7]
20:55:36 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=ehab, pass=, id=8] was created.
20:55:36 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=ehab, pass=, id=8]
20:58:14 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=hady, pass=3333, id=9] was created.
20:58:14 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=hady, pass=3333, id=9]
22:38:46 [main] INFO  someKindOfShop.shoppingList.Driver - There's no Offers now!
22:41:48 [main] INFO  someKindOfShop.shoppingList.Driver - There's no Offers now!
22:42:16 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
22:45:44 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]

13:12:24 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
13:12:42 [main] INFO  someKindOfShop.shoppingList.Driver - Items [id=6, name=Jam - Strawberry, 20 Ml Jar, price=0, count=0]
13:12:42 [main] INFO  someKindOfShop.shoppingList.Driver - Items [id=19, name=carpet, price=0, count=0]
13:13:45 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
13:14:37 [main] INFO  someKindOfShop.shoppingList.Driver - customer id is:1 item id is: 19 payment:300
13:14:45 [main] INFO  someKindOfShop.shoppingList.Driver - the sum of payments is 300
13:15:48 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=ehab, pass=5555, id=0] was created.
13:15:48 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=ehab, pass=5555, id=0]
13:16:25 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=salma, pass=6666, id=11] was created.
13:16:25 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=salma, pass=6666, id=11]
13:17:04 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=salma, pass=6666, id=11]
16:27:42 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
16:29:33 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=ahmed, pass=0000, id=0] was created.
16:29:33 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=ahmed, pass=0000, id=0]
16:30:11 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
16:44:24 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
16:44:30 [main] INFO  someKindOfShop.shoppingList.Driver - customer id is:1 item id is: 19 payment:300
16:48:30 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
16:48:37 [main] INFO  someKindOfShop.shoppingList.Driver - customer id is:1 item id is: 19 payment:300
17:11:12 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
17:26:33 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=test, pass=test, id=2] was created.
17:26:38 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=test, pass=test, id=2] was created.
17:27:57 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=test, pass=test, id=2] was created.
17:28:03 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=test, pass=test, id=2] was created.
17:30:23 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=testEmployee, pass=testPass, id=6] was created.
17:30:29 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=testHere, pass=passTest, id=15] was created.
17:53:04 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=abcd, pass=tespass, id=7] was created.
17:53:10 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=zxyz, pass=passTest, id=16] was created.
17:53:25 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=abcd, pass=tespass, id=2] was created.
17:53:31 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=zxyz, pass=passTest, id=2] was created.
17:53:36 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=abcd, pass=tespass, id=2] was created.
17:53:42 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=zxyz, pass=passTest, id=2] was created.
17:54:53 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
17:56:04 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
17:58:19 [main] INFO  someKindOfShop.shoppingList.Driver - Employee [uname=asmaa, pass=12345, id=2]
17:58:26 [main] INFO  someKindOfShop.shoppingList.Driver - customer id is:1 item id is: 19 payment: $300
17:58:26 [main] INFO  someKindOfShop.shoppingList.Driver - customer id is:1 item id is: 6 payment: $50
17:59:18 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=abcd, pass=tespass, id=2] was created.
17:59:40 [main] INFO  someKindOfShop.service.EmployeeService - Employee: Employee [uname=abcd, pass=tespass, id=2] was created.
18:07:41 [main] INFO  someKindOfShop.service.CustomerService - Customer: Customer [uname=zxyz, pass=passTest, id=2] was created.
18:08:28 [main] INFO  someKindOfShop.shoppingList.Driver - Customer [uname=aliaa, pass=1234, id=1]
